Namespace,Deployment,Container,CPU usage,Memory usage,Disk read,Disk write,Network in,Network out,Time
platform,N/A,N/A,0,33062912,N/A,N/A,44097.09141274238,662717.7977839336,16:57:04
platform,N/A,N/A,0,33062912,N/A,N/A,44097.09141274238,662717.7977839336,16:57:04
robot-shop1,N/A,N/A,0.0009338140417457101,36220928,0,0,76.21972023200273,66.80313886045718,16:57:04
kube-system,N/A,N/A,0.0007960363336086104,57208832,0,0,736.1191132694075,391.097446396971,16:57:04
observability,N/A,N/A,0.002310683024572031,45817856,0,0,1920.8275192622702,28891.586977543786,16:57:04
platform,N/A,N/A,0,33062912,N/A,N/A,44097.09141274238,662717.7977839336,16:57:04
observability,N/A,N/A,0.002310683024572031,45817856,0,0,1920.8275192622702,28891.586977543786,16:57:04
robot-shop1,N/A,N/A,0.0009338140417457101,36220928,0,0,76.21972023200273,66.80313886045718,16:57:04
robot-shop1,N/A,N/A,0.0009338140417457101,36220928,0,0,76.21972023200273,66.80313886045718,16:57:04
observability,N/A,alertmanager,0.002139709494070583,40935424,0,0,N/A,N/A,16:58:05
robot-shop1,N/A,cart,0.0000902370457779221,72413184,0,0,N/A,N/A,16:58:05
chaos-testing,N/A,chaos-daemon,0.000018380145439980856,67383296,0,0,N/A,N/A,16:58:05
chaos-testing,N/A,chaos-dashboard,0.001327897133462319,333283328,0,0,N/A,N/A,16:58:05
observability,N/A,config-reloader,0.00002584070796460171,6463488,0,131.81013676588898,N/A,N/A,16:58:05
observability,N/A,config-reloader,0.00002584070796460171,6463488,0,131.81013676588898,N/A,N/A,16:58:05
kube-system,N/A,coredns,0.005117772096630566,57192448,0,0,N/A,N/A,16:58:05
observability,N/A,grafana-sc-dashboard,0.0005671912418747903,94240768,0,0,N/A,N/A,16:58:05
kube-system,N/A,hostpath-provisioner,0.0018589260630807079,35618816,0,0,N/A,N/A,16:58:05
robot-shop1,N/A,mongodb,0.04187167993577299,193970176,0,3014.384157355991,N/A,N/A,16:58:05
platform,N/A,my-release-clickhouse-metrics-exporter,0.000007738810955225785,16334848,N/A,N/A,N/A,N/A,16:58:05
platform,N/A,my-release-signoz-otel-collector,0.04159764924911145,117841920,N/A,N/A,N/A,N/A,16:58:05
platform,N/A,my-release-signoz-otel-collector-metrics,0.01418385207142372,93376512,N/A,N/A,N/A,N/A,16:58:05
platform,N/A,my-release-signoz-query-service,0.001017651504447396,20455424,N/A,N/A,N/A,N/A,16:58:05
observability,N/A,node-exporter,0.009294225668230982,8183808,0,N/A,N/A,N/A,16:58:05
robot-shop1,N/A,ratings,0.005054504042089026,81850368,0,0,N/A,N/A,16:58:05
observability,N/A,tempo-query,0.00027066300117819484,50749440,0,0,N/A,N/A,16:58:05
robot-shop1,N/A,web,0.051675471051730225,16969728,0,0,N/A,N/A,16:58:05
platform,N/A,zookeeper,0.008431770510399459,150806528,N/A,N/A,N/A,N/A,16:58:05
default,N/A,N/A,0,14057472,0,0,0,0,16:58:05
observability,N/A,N/A,0.0013360228119633126,45813760,0,0,23.543978596785838,122.51513434089001,16:58:05
observability,N/A,N/A,0.0013360228119633126,45813760,0,0,23.543978596785838,122.51513434089001,16:58:05
kube-system,N/A,N/A,0,57208832,0,0,191.6240477808376,44.20442759557956,16:58:05
observability,N/A,N/A,0.0013360228119633126,45813760,0,0,23.543978596785838,122.51513434089001,16:58:05
kube-system,N/A,N/A,0,57208832,0,0,191.6240477808376,44.20442759557956,16:58:05
observability,N/A,N/A,0.0013360228119633126,45813760,0,0,23.543978596785838,122.51513434089001,16:58:05
observability,N/A,N/A,0.0013360228119633126,45813760,0,0,23.543978596785838,122.51513434089001,16:58:05
chaos-testing,N/A,N/A,0.000018337326943548526,67866624,0,0,309.83837303642326,54.69067840497151,16:58:05
observability,N/A,N/A,0.0013360228119633126,45813760,0,0,23.543978596785838,122.51513434089001,16:58:05
chaos-testing,N/A,N/A,0.000018337326943548526,67866624,0,0,309.83837303642326,54.69067840497151,16:58:05
robot-shop1,N/A,N/A,0.0004609238460970572,36352000,0,0,17678.352115527363,12745.259464201363,16:58:05
robot-shop1,N/A,N/A,0.0004609238460970572,36352000,0,0,17678.352115527363,12745.259464201363,16:58:05
kube-system,N/A,N/A,0,57208832,0,0,191.6240477808376,44.20442759557956,16:58:05
robot-shop1,N/A,N/A,0.0004609238460970572,36352000,0,0,17678.352115527363,12745.259464201363,16:58:05
chaos-testing,N/A,N/A,0.000018337326943548526,67866624,0,0,309.83837303642326,54.69067840497151,16:58:05
platform,N/A,N/A,0,33464320,0,801577.7387545591,11.204334975369457,10.106157635467982,16:58:05
platform,N/A,N/A,0,33464320,0,801577.7387545591,11.204334975369457,10.106157635467982,16:58:05
chaos-testing,N/A,N/A,0.000018337326943548526,67866624,0,0,309.83837303642326,54.69067840497151,16:58:05
platform,N/A,N/A,0,33464320,0,801577.7387545591,11.204334975369457,10.106157635467982,16:58:05
robot-shop1,N/A,N/A,0.0004609238460970572,36352000,0,0,17678.352115527363,12745.259464201363,16:58:05
kube-system,N/A,N/A,0,57208832,0,0,191.6240477808376,44.20442759557956,16:58:05
robot-shop1,N/A,N/A,0.0004609238460970572,36352000,0,0,17678.352115527363,12745.259464201363,16:58:05
robot-shop1,N/A,N/A,0.0004609238460970572,36352000,0,0,17678.352115527363,12745.259464201363,16:58:05
platform,N/A,N/A,0,33464320,0,801577.7387545591,11.204334975369457,10.106157635467982,16:58:05
robot-shop1,N/A,N/A,0.0004609238460970572,36352000,0,0,17678.352115527363,12745.259464201363,16:58:05
robot-shop1,N/A,N/A,0.0004609238460970572,36352000,0,0,17678.352115527363,12745.259464201363,16:58:05
robot-shop1,N/A,N/A,0.0004609238460970572,36352000,0,0,17678.352115527363,12745.259464201363,16:58:05
platform,N/A,N/A,0,33464320,0,801577.7387545591,11.204334975369457,10.106157635467982,16:58:05
chaos-testing,N/A,chaos-daemon,0.000016723549488027754,66490368,0,0,N/A,N/A,16:59:08
chaos-testing,N/A,chaos-mesh,0.029822980233761145,45207552,0,0,N/A,N/A,16:59:08
chaos-testing,N/A,chaos-mesh,0.029822980233761145,45207552,0,0,N/A,N/A,16:59:08
observability,N/A,config-reloader,0,6463488,N/A,N/A,N/A,N/A,16:59:08
observability,N/A,loki,0.013310644542986918,199614464,N/A,N/A,N/A,N/A,16:59:08
platform,N/A,my-release-k8s-infra-otel-agent,0.3457535016768567,104841216,0,N/A,N/A,N/A,16:59:08
observability,N/A,node-exporter,0.011422048552352218,8916992,N/A,N/A,N/A,N/A,16:59:08
robot-shop1,N/A,rabbitmq,0.005199042407660506,109424640,0,0,N/A,N/A,16:59:08
robot-shop1,N/A,user,0.1995486596155124,85176320,N/A,N/A,N/A,N/A,16:59:08
platform,N/A,N/A,0.003707173345225171,29933568,N/A,N/A,111.87636485805476,N/A,16:59:08
kube-system,N/A,N/A,0.0033495402160016534,57212928,0,0,1414.8851455326255,343.44573541691517,16:59:08
observability,N/A,N/A,0.0024390316499652547,45772800,0,541.8526970268215,N/A,N/A,16:59:08
chaos-testing,N/A,N/A,0.0009294513262168509,66973696,N/A,N/A,50236.91042473996,24610.508844924876,16:59:08
platform,N/A,N/A,0.003707173345225171,29933568,N/A,N/A,111.87636485805476,N/A,16:59:08
robot-shop1,N/A,N/A,0.0006480686695279055,36499456,0,0,N/A,N/A,16:59:08
kube-system,N/A,N/A,0.0033495402160016534,57212928,0,0,1414.8851455326255,343.44573541691517,16:59:08
kube-system,N/A,N/A,0.0033495402160016534,57212928,0,0,1414.8851455326255,343.44573541691517,16:59:08
chaos-testing,N/A,N/A,0.0009294513262168509,66973696,N/A,N/A,50236.91042473996,24610.508844924876,16:59:08
chaos-testing,N/A,N/A,0.0009294513262168509,66973696,N/A,N/A,50236.91042473996,24610.508844924876,16:59:08
robot-shop1,N/A,N/A,0.0006480686695279055,36499456,0,0,N/A,N/A,16:59:08
platform,N/A,N/A,0.003707173345225171,29933568,N/A,N/A,111.87636485805476,N/A,16:59:08
robot-shop1,N/A,N/A,0.0006480686695279055,36499456,0,0,N/A,N/A,16:59:08
observability,N/A,N/A,0.0024390316499652547,45772800,0,541.8526970268215,N/A,N/A,16:59:08
robot-shop1,N/A,N/A,0.0006480686695279055,36499456,0,0,N/A,N/A,16:59:08
robot-shop1,N/A,catalogue,0.0010559427592558045,35328000,0,0,N/A,N/A,17:00:08
platform,N/A,clickhouse,0.25808888680418757,1069416448,0,520865.4526968634,N/A,N/A,17:00:08
observability,N/A,grafana,0.009873048846445511,146460672,0,513.3079471520376,N/A,N/A,17:00:08
platform,N/A,my-release-signoz-otel-collector,0.024089398820759226,114958336,N/A,N/A,N/A,N/A,17:00:08
robot-shop1,N/A,shipping,0.0023585439001691123,556650496,0,564.7902375124961,N/A,N/A,17:00:08
observability,N/A,tempo-query,0.0004707424918953914,50769920,0,0,N/A,N/A,17:00:08
platform,N/A,N/A,0,32878592,N/A,N/A,577.3571766128147,152.61173389017108,17:00:08
observability,N/A,N/A,0,45686784,N/A,N/A,22040.172528327414,267.3191611703028,17:00:08
observability,N/A,N/A,0,45686784,N/A,N/A,22040.172528327414,267.3191611703028,17:00:08
chaos-testing,N/A,N/A,0,66973696,N/A,N/A,0,0,17:00:08
robot-shop1,N/A,N/A,0,35885056,N/A,N/A,3.4584775263642875,11.375565680352206,17:00:08
kube-system,N/A,calico-node,0.008635812938736252,137592832,0,0,N/A,N/A,17:01:08
observability,N/A,grafana-sc-datasources,0.00012552441799162147,92622848,0,0,N/A,N/A,17:01:08
kube-system,N/A,metrics-server,0.001412459548522333,57036800,N/A,N/A,N/A,N/A,17:01:08
observability,N/A,promtail,0.06063627410704342,143835136,0,0,N/A,N/A,17:01:08
